Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020349	2.207472	2.013328	14.058000	26.090000	
0.040198	2.018470	1.657502	20.232000	47.390000	
0.060047	1.859315	1.755040	25.318000	42.680000	
0.079896	1.754529	1.514030	28.022000	56.100000	
0.099746	1.668822	1.340133	31.300000	57.620000	
0.100607	1.236423	1.367318	33.851111	63.390000	
0.073084	1.551542	1.443044	34.946667	70.800000	
0.038997	1.485133	1.149186	37.635556	78.460000	
0.011296	1.429842	1.131633	41.117778	81.130000	
0.000502	1.360312	1.153616	42.306667	81.910000	
0.111787	1.136070	1.621539	35.661728	68.770000	
0.081208	1.488423	1.450686	37.795062	76.060000	
0.043329	1.421112	1.259074	41.832099	81.050000	
0.012529	1.351218	1.162348	42.481481	83.240000	
0.000503	1.350855	1.093846	41.834568	84.810000	
0.124211	1.084994	1.340549	37.437586	76.940000	
0.090241	1.446349	1.207147	40.639232	80.700000	
0.048150	1.414441	1.133010	40.150892	82.740000	
0.013908	1.351674	1.165995	42.345679	85.750000	
0.000504	1.324775	1.101199	41.336077	86.450000	
0.148727	1.053794	1.166773	40.768176	80.470000	
0.138018	1.428070	1.095110	37.814358	80.060000	
0.121330	1.413402	1.191535	41.161408	80.870000	
0.100283	1.412470	1.231610	38.734949	84.060000	
0.076922	1.366575	1.253347	39.372047	81.760000	
0.053516	1.353353	1.209851	42.642890	85.060000	
0.032338	1.318892	1.160798	41.005944	86.880000	
0.015446	1.251570	1.142172	43.145862	88.190000	
0.004480	1.261996	1.118775	45.651578	88.470000	
0.000506	1.253836	1.118443	44.779759	88.430000	
0.133856	1.098595	1.263024	41.136025	82.890000	
0.124223	1.387864	1.198210	39.808292	82.380000	
0.109209	1.380484	1.151219	41.589893	84.700000	
0.090273	1.358651	1.200555	44.499390	84.620000	
0.069252	1.353185	1.107426	40.797317	86.760000	
0.048186	1.305060	1.188545	39.500068	87.090000	
0.029119	1.295923	1.183793	39.923452	88.250000	
0.013901	1.288855	1.093843	46.270831	89.090000	
0.004011	1.225423	1.057540	45.918575	90.010000	
0.000406	1.247852	1.176593	45.010839	89.650000	
0.122706	1.120177	1.215506	41.701791	82.850000	
0.120472	1.380060	1.176115	40.640524	83.830000	
0.116809	1.366632	1.261413	41.908776	83.690000	
0.111807	1.322989	1.135153	41.231371	83.750000	
0.105588	1.375035	1.149686	40.215264	85.800000	
0.098303	1.368752	1.187910	45.521602	85.590000	
0.090129	1.338731	1.133359	41.438356	86.480000	
0.081267	1.318329	1.121175	40.203974	88.290000	
0.071933	1.285124	1.062509	42.179738	89.100000	
0.062353	1.317918	1.148094	43.553364	88.350000	
0.052762	1.260822	1.122149	43.933464	90.350000	
0.043394	1.276585	1.231063	43.553364	89.890000	
0.034477	1.261348	1.179511	45.333434	89.400000	
0.026228	1.240847	1.160844	47.715641	90.740000	
0.018849	1.205849	1.128575	43.376487	91.530000	
0.012519	1.240909	1.144917	43.647448	91.730000	
0.007394	1.222476	1.056296	49.047870	91.810000	
0.003597	1.222522	1.097198	47.226404	91.950000	
0.001222	1.189794	1.009295	45.578052	92.020000	
0.000327	1.188469	1.080585	48.761855	92.010000	
0.110811	1.041196	1.165103	45.525634	87.360000	
0.109913	1.396236	1.210720	40.127122	87.000000	
0.108427	1.353584	1.199681	45.174375	86.840000	
0.106370	1.386939	1.322715	44.810571	86.050000	
0.103763	1.330457	1.084142	40.712553	88.080000	
0.100635	1.365573	1.247953	42.640294	87.180000	
0.097019	1.344883	1.162859	42.899557	88.600000	
0.092956	1.324973	1.157060	43.137911	87.330000	
0.088489	1.287204	1.046829	43.380447	88.450000	
0.083666	1.280595	1.123777	44.818935	89.610000	
0.078539	1.280077	1.141413	43.150456	89.090000	
0.073165	1.300973	1.160224	45.563268	89.400000	
0.067602	1.300557	1.183050	46.717404	89.880000	
0.061909	1.310971	1.195824	49.540018	89.540000	
0.056149	1.238474	1.135498	47.603914	91.190000	
0.050384	1.284305	1.154627	47.595551	91.090000	
0.044676	1.233924	1.181396	46.721586	91.290000	
0.039088	1.217062	1.059109	48.197708	91.000000	
0.033679	1.199585	1.143558	47.478465	92.160000	
0.028509	1.225088	1.012920	46.219788	92.240000	
0.023634	1.210703	1.113718	45.040562	92.350000	
0.019106	1.194593	1.117020	46.964121	92.630000	
0.014974	1.219549	1.017472	43.806975	93.060000	
0.011284	1.174742	1.135934	47.231747	93.060000	
0.008075	1.211601	1.202650	47.528644	93.050000	
0.005382	1.167288	1.096455	45.956344	93.240000	
0.003234	1.131990	1.008253	50.940871	93.310000	
0.001655	1.154785	1.015686	49.995818	93.480000	
0.000661	1.170529	1.127412	50.439073	93.290000	
0.000264	1.158234	1.045761	47.461738	93.310000	
0.099903	1.109505	1.195450	41.337174	89.170000	
0.099611	1.332607	1.187450	43.660270	89.250000	
0.099127	1.314251	1.213635	42.907587	88.480000	
